Avatar;Nombre;Segundo Nombre;Apellido;Segundo Apellido;Cedula;Dia;Mes;Year;Cargo;Dirección;Telefono;Genero;Parroquia;Etnia;Correo;Password;Oscuro
Dinosaurio;Cuatromino;Guitarrizo;Pérez;González;78951234;12;4;1982;Docente;Urb. Los Placeres, Calle 2;4124567890;Masculino;San Juan De Los Morros;Ninguna;cuaguirez1234@gmail.com;CuaGuiRez*1234;1
Pizza;Potracio;Georfido;Rodríguez;López;64198752;25;8;1990;Docente;Sector La Morera, Vereda 5;4261234567;Masculino;San Juan De Los Morros;Ninguna;pogeorguez8752@gmail.com;PoGeorGuez*8752;0
Gato;Nicida;Ivanisaurio;Fernández;García;90534816;14;12;1985;Docente;Av. Bolívar, Res. Santa Fe;4169876543;Femenino;San Juan De Los Morros;Ninguna;niivanfer4816@gmail.com;NiIvanFer*4816;1
Perro;Epimenio;Eufrasio;Díaz;Sánchez;21376489;3;1;1981;Docente;Calle Sendrea, Casa #12;4243332211;Masculino;San Juan De Los Morros;Ninguna;epeudiaz6489@gmail.com;EpEuDiaz*6489;0
Lapiz;Fericodrilo;Diogracio;Flores;Ramírez;83459012;19;7;1988;Docente;Urb. Rómulo Gallegos, C-4;4125556677;Masculino;San Juan De Los Morros;Ninguna;fedioflo9012@gmail.com;FeDioFlo*9012;1
Planta;Melpomenes;Clodomiro;Torres;Rojas;47025193;21;11;1983;Docente;Barrio Puerto Rico, Calle 3;4260001122;Masculino;San Juan De Los Morros;Ninguna;melclotor5193@gmail.com;MelCloTor*5193;0
Cafe;Concha;Celso;Castro;Morales;15682947;30;5;1994;Docente;Av. Miranda, Edif. Central;4164445566;Femenino;San Juan De Los Morros;Ninguna;concelcas2947@gmail.com;ConCelCas*2947;1
Ninja;Sinibaldo;Kilintwon;Vargas;Herrera;59203671;8;9;1986;Docente;Urb. Los Portales, Vereda 1;4249990011;Masculino;San Juan De Los Morros;Ninguna;sikilvar3671@gmail.com;SiKilVar*3671;0
Dona;Cleiber;Ritce;Ruíz;Jiménez;36817504;15;2;1991;Docente;Sector El Lucero, Calle Principal;4128887766;Masculino;San Juan De Los Morros;Ninguna;cleritruiz7504@gmail.com;CleRitRuiz*7504;1
Balon;Wilianñelys;Wuandy;Moreno;Cruz;72460395;27;10;1987;Docente;Barrio Camoruquito, Calle A;4262223344;Femenino;San Juan De Los Morros;Ninguna;wiwuanmor0395@gmail.com;WiWuanMor*0395;0
Default;Argimiro;Pascual;Navarro;Pinto;11234567;4;3;1978;Docente;Barrio Vista al Morro, Calle 1;4121112233;Masculino;San Juan De Los Morros;Ninguna;arpanav4567@gmail.com;ArPaNav*4567;1
