Cedula;Nombre;Apellido;Transmisibles;Cronicas;Neurologicas;Neoplasias;Autoinmunes;Transtornos;Lesiones;Congenitas;Metabolicos;Ocupacionales
78951234;Cuatromino;Pérez;;Hipertension Leve;;;;Ansiedad;Lumbalgia;;;Disfonia
64198752;Potracio;Rodríguez;;;Migraña;;Rinitis Alergica;;;;;
90534816;Nicida;Fernández;;;;;;Estres laboral;;;;Disfonia leve
21376489;Epimenio;Díaz;;Diabetes Tipo 2;;;;;;;Hipercolesterolemia;Vena Varice
83459012;Fericodrilo;Flores;;;;;;;;;;
47025193;Melpomenes;Torres;;Gastritis;;;;;;;;
15682947;Concha;Castro;;;;;;;;;;
59203671;Sinibaldo;Vargas;;;;;;;;;;
36817504;Cleiber;Ruíz;;;;;;;;;;
72460395;Wilianñelys;Moreno;;;;;;;;;;
11234567;Argimiro;Navarro;;Artritis;;;;;;;;
15987412;Tibisay;Mendoza;;;;;;;;;;Disfonia
10114563;Eustaquio;Bolívar;;Hipertension;;;;;;;Acido Urico;
13654789;Nicanor;Guerra;;;;;;Insomnio;Cervicalgia;;;
10112233;Petra;Velasquez;;Osteoporosis;;;;;;;;
18456123;Gualberto;Solorzano;;;Migraña;;;;;;;
12789456;Casimira;Pantoja;;Varices;;;;Ansiedad;;;;
20147852;Wenceslao;Colmenares;;;;;Asma;;;;;
11456987;Maximina;Salas;;Hipertension;;;;;;;;Disfonia
14789654;Hermenegildo;Zambrano;;;;;;;Hernia Discal;;;
16123456;Prudencia;Barrios;;;;;Hipotiroidismo;;;;;
19456781;Sulpicio;Hernandez;;;;;;;;;;
12456321;Tranquilino;Molina;;;;;;;;;;Stress
17123987;Bernarda;Perez;;;;;;;Tunel Carpiano;;;
21456987;Eulogio;Castro;;;;;;;;;;
15999888;Dionisia;Blanco;;Gastritis;;;;;;;;
12654123;Epifanio;Gil;;Hipertension;;;;;;;Diabetes;
10456123;Teotiste;Sanchez;;;;;;;Lumbalgia Cronica;;;
19654123;Agapito;Guzman;;;;;;;;;;
14123456;Filomena;Duarte;;;;;Alergia Polvo;;;;;
22407618;Kasandra;Cornejo;;;;;;;;;;
