Cedula;Nombre;Apellido;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
78951234;Cuatromino;Pérez;53;43;47;55;34;21;40;84;17;18;52;97;23;72;24;63;45;72;94;14;15;75;34;15;31;27;77;46;21;61;29;65;65;73;71;59;75;46;90;15;42;88;88;54;53;90;17;48;63;92
64198752;Potracio;Rodríguez;88;57;18;18;89;93;95;12;25;57;39;40;44;69;28;41;43;94;56;64;14;77;51;64;52;77;80;29;41;84;91;88;25;13;73;98;55;35;81;46;27;71;10;88;64;69;39;15;83;68
90534816;Nicida;Fernández;61;44;60;20;74;47;57;97;45;31;41;73;74;33;10;90;30;78;92;63;45;36;13;33;24;40;26;72;78;30;19;35;42;68;35;84;16;10;25;62;83;85;45;31;56;92;60;78;64;31
21376489;Epimenio;Díaz;86;76;41;20;86;96;59;41;40;27;49;50;41;58;46;11;88;92;69;40;47;65;19;41;57;15;59;28;75;53;97;50;92;80;14;37;45;86;78;92;29;82;99;74;53;72;31;39;84;68
83459012;Fericodrilo;Flores;42;80;36;31;51;36;82;21;74;82;57;74;13;14;69;46;90;29;74;57;57;46;69;86;90;60;42;35;97;61;65;87;84;23;50;41;89;95;17;80;22;94;71;99;65;77;48;54;95;97
47025193;Melpomenes;Torres;47;71;20;46;61;77;58;65;67;36;91;58;61;76;84;44;70;74;25;54;30;75;72;11;71;56;21;94;37;49;53;71;19;74;86;29;64;59;40;18;83;13;94;16;84;65;78;23;31;98
15682947;Concha;Castro;26;91;78;98;98;77;21;89;22;26;60;83;31;28;35;21;97;27;36;36;38;45;42;30;98;55;38;54;16;37;85;82;47;26;34;31;68;48;41;92;96;50;20;68;18;47;35;92;53;35
59203671;Sinibaldo;Vargas;22;84;60;67;64;97;89;60;19;56;98;93;55;47;48;95;18;15;28;77;72;93;77;31;88;55;78;12;34;52;45;56;53;17;95;90;78;64;22;31;97;42;57;82;60;45;61;25;53;91
36817504;Cleiber;Ruíz;96;55;20;50;70;26;45;26;81;44;45;57;38;71;51;57;43;98;73;13;45;99;46;18;94;87;94;63;18;13;70;25;19;16;74;63;63;58;54;80;71;21;59;26;22;77;32;99;43;80
72460395;Wilianñelys;Moreno;68;55;10;79;28;11;88;51;65;35;12;35;51;94;85;22;41;72;50;72;59;93;69;52;64;95;31;91;76;51;51;72;28;56;37;64;64;89;25;35;34;29;46;84;10;60;12;88;70;62
11234567;Argimiro;Navarro;88;62;94;56;93;75;36;60;18;14;65;69;29;68;13;11;39;19;95;82;48;66;72;44;23;32;86;77;60;74;49;43;54;55;80;95;61;69;30;48;15;22;81;35;76;64;87;49;19;39
15987412;Tibisay;Mendoza;52;40;27;77;36;38;86;33;72;53;24;53;22;57;76;97;42;78;60;57;87;15;36;82;82;79;38;31;99;38;59;43;15;29;84;74;46;66;38;99;17;42;48;44;11;14;92;24;64;23
10114563;Eustaquio;Bolívar;71;87;50;46;85;78;98;81;91;33;72;90;59;30;80;89;68;72;58;70;94;98;50;32;86;98;48;12;30;37;35;50;72;59;33;89;57;40;73;31;52;21;34;63;57;70;50;88;67;32
13654789;Nicanor;Guerra;64;87;99;31;89;27;73;32;51;33;86;33;29;62;97;10;44;31;36;15;31;70;78;53;75;19;22;40;62;24;97;45;82;23;86;96;76;95;34;63;22;75;61;20;93;69;21;80;85;62
10112233;Petra;Velasquez;76;94;60;77;49;24;12;85;79;95;74;26;38;58;90;86;61;82;86;43;73;60;31;79;42;35;96;30;56;94;46;44;52;33;72;64;11;77;99;25;72;82;53;64;65;50;84;66;20;92
18456123;Gualberto;Solorzano;28;91;88;47;66;23;97;88;68;37;24;15;79;44;89;86;50;96;94;93;28;22;97;36;96;61;47;20;22;55;47;56;50;29;64;57;84;19;80;90;28;23;27;80;60;99;27;80;53;59
12789456;Casimira;Pantoja;54;87;31;20;76;60;48;70;26;24;34;96;19;58;39;43;77;76;40;11;47;21;79;44;62;42;31;81;76;51;40;67;82;16;63;78;85;85;87;67;46;45;80;72;91;28;44;93;83;28
20147852;Wenceslao;Colmenares;63;85;19;62;44;24;24;34;26;67;47;88;61;12;95;53;61;22;99;79;27;88;30;11;90;11;31;84;83;61;32;63;83;93;25;66;75;92;63;57;56;97;26;17;44;65;85;44;37;74
11456987;Maximina;Salas;93;55;31;84;86;82;84;48;55;63;19;77;47;89;26;79;67;94;70;46;45;50;48;58;97;88;16;90;22;40;94;35;23;49;68;71;34;55;51;77;91;60;33;80;67;33;53;49;47;67
14789654;Hermenegildo;Zambrano;76;87;18;67;79;56;39;12;76;60;73;54;39;25;97;47;15;64;35;69;76;44;56;55;37;90;90;66;89;37;37;49;48;87;97;31;51;27;82;10;30;85;92;17;32;81;70;68;78;63
16123456;Prudencia;Barrios;79;96;57;95;47;45;25;29;26;11;90;24;24;11;24;33;26;56;34;63;82;50;45;30;29;10;54;22;58;69;14;65;36;62;49;52;53;78;66;70;41;76;25;24;54;69;19;55;79;54
19456781;Sulpicio;Hernandez;63;91;76;66;90;67;93;40;59;68;41;48;19;18;39;92;89;51;41;42;23;21;24;84;37;83;69;19;38;17;85;25;19;73;74;89;45;44;28;68;88;95;32;35;16;16;30;82;51;61
12456321;Tranquilino;Molina;72;27;55;30;24;42;62;99;20;34;95;31;95;21;11;15;83;15;37;99;22;88;70;11;91;83;78;79;39;67;32;26;95;11;83;79;91;95;41;92;18;61;67;41;17;47;59;34;87;47
17123987;Bernarda;Perez;11;70;52;21;37;58;87;28;95;80;77;94;60;61;57;65;61;95;65;72;65;40;53;71;33;28;61;34;85;10;80;60;61;78;17;35;76;20;78;95;44;11;49;70;46;95;69;39;75;36
21456987;Eulogio;Castro;58;72;42;27;51;87;49;96;90;39;87;51;25;55;20;97;72;24;88;15;10;74;59;95;37;36;59;42;51;78;48;97;85;82;65;88;79;59;50;36;50;70;49;19;70;57;71;59;76;33
15999888;Dionisia;Blanco;61;88;76;73;87;39;23;49;91;68;93;11;57;20;52;16;99;17;13;59;90;10;45;70;29;78;59;45;96;99;68;41;53;67;32;70;73;37;52;38;17;86;95;58;74;56;35;99;16;20
12654123;Epifanio;Gil;13;34;90;53;83;34;87;72;29;22;75;27;77;56;29;62;50;43;21;32;88;47;58;29;20;13;72;38;99;44;52;44;99;42;55;53;67;55;81;57;92;44;63;43;20;40;22;47;37;25
10456123;Teotiste;Sanchez;26;23;81;55;80;73;27;63;96;90;24;46;56;83;42;64;85;94;68;16;49;32;52;82;89;41;88;72;63;24;65;85;91;31;41;92;12;51;60;95;94;20;33;74;51;67;47;63;65;31
19654123;Agapito;Guzman;60;78;88;25;16;81;12;98;97;92;79;47;86;39;98;19;77;28;54;95;77;95;81;41;68;23;42;58;15;15;61;42;85;94;39;10;39;80;24;84;13;65;68;92;69;22;20;83;91;48
14123456;Filomena;Duarte;23;29;84;81;78;97;61;28;36;51;45;14;50;54;23;32;65;95;95;92;44;57;90;73;32;89;53;24;82;70;81;91;86;49;92;28;75;15;23;60;13;84;28;17;65;99;67;81;72;48
22407618;Kasandra;Cornejo;62;44;67;42;93;78;44;95;54;55;52;48;25;51;51;43;14;30;70;91;32;28;47;52;29;14;51;12;54;98;28;41;58;17;77;77;61;47;73;94;82;80;50;27;61;14;63;17;23;30
